Date,Description,Amount,Address,City/State,Zip Code,Country,Category,,,,,
01/04/22,E-Payment,542.00,,,,,Housing,,,,,
01/04/22,UBER EATS           SAN FRANCISCO       CA,26.33,"1455 MARKET ST
-","SAN FRANCISCO
CA",94103,UNITED STATES,Restaurants,,,,,
01/06/22,BT*TUTORS.COM       AUSTIN              TX,29.99,4609 TRL CRST CIR,"AUSTIN
TX",78735,UNITED STATES,Subscription,,,,,
01/09/22,MT FUJI SUSHI JAPANEMAPLEWOOD           NJ,17.81,"166 MAPLEWOOD AVE
STE A","MAPLEWOOD
NJ",7040,UNITED STATES,Restaurants,,,,,
01/10/22,Audible             audible.com         NJ,15.66,1 WASHINGTON PARK,"NEWARK
NJ",07102-3122,UNITED STATES,Books,,,,,
01/10/22,UPWORK*-443405899REFSANTA CLARA,92.70,"441 LOGUE AVE
-","MOUNTAIN VIEW
CA",94043,UNITED STATES,Misc,,,,,
01/11/22,MCDONALD'S          WEST ORANGE         NJ,7.46,573 NORTHFIELD AVE,"WEST ORANGE
NJ",7052,UNITED STATES,Restaurants,,,,,
01/12/22,APPLE STORE R043 R04SHORT HILLS         NJ,84.23,"1200 MORRIS TPKE
STE B103","SHORT HILLS
NJ",07078-0441,UNITED STATES,Electronics,,,,,
01/12/22,INDIGO Personal - Books        WILMINGTON          DE,22.44,1200 MORRIS TPKE,"SHORT HILLS
NJ",7078,UNITED STATES,Books,,,,,
01/12/22,NORDSTROM           SHORT HILLS         NJ,61.10,1200 MORRIS TPKE,"SHORT HILLS
NJ",7078,UNITED STATES,Clothing,,,,,
01/12/22,QDOBA 2112          SHORT HILLS         NJ,10.97,2 KELLER CT,"MONTVILLE
NJ",07045-8909,UNITED STATES,Restaurants,,,,,
01/12/22,THE HOME DEPOT      VAUXHALL            NJ,36.20,"2445 SPRINGFIELD AVE
-","VAUXHALL
NJ",07088-1098,UNITED STATES,Furniture,,,,,
01/12/22,VICTORIA'S SECRET 00SHORT HILLS         NJ,32.00,1200 MORRIS TPKE,"SHORT HILLS
NJ",7078,UNITED STATES,Clothing,,,,,
01/13/22,ADVANCE AUTO PARTS #MAPLEWOOD           NJ,13.85,"1752 SPRINGFIELD AVENUE
-","MAPLEWOOD
NJ",7040,UNITED STATES,Car Maintenance,,,,,
01/13/22,MCDONALD'S          SCOTCH PLAINS       NJ,7.46,1967 US HWY 22,"SCOTCH PLAINS
NJ",7076,UNITED STATES,Restaurants,,,,,
01/14/22,AMAZON.COM*9Y9OY9IP3AMZN.COM/BILL       WA,21.26,410 TERRY AVE N,"SEATTLE
WA",98109,UNITED STATES,Books,,,,,
01/16/22,TARGET              NORTH HAVEN         CT,297.69,200 UNIVERSAL DR NORTH,"NORTH HAVEN
CT",6473,UNITED STATES,Furniture,,,,,
01/17/22,AplPay TARGET       NORTH HAVEN         CT,113.98,200 UNIVERSAL DR NORTH,"NORTH HAVEN
CT",6473,UNITED STATES,Furniture,,,,,
01/18/22,E-Payment,173.00,,,,,Car Loan,,,,,
01/18/22,E-Payment,116.00,,,,,Car Insurance,,,,,
01/23/22,BT*TUTORS.COM       AUSTIN              TX,29.99,4609 TRL CRST CIR,"AUSTIN
TX",78735,UNITED STATES,Subscription,,,,,
01/24/22,UPWORK*-447035884REFSANTA CLARA,20.60,"441 LOGUE AVE
-","MOUNTAIN VIEW
CA",94043,UNITED STATES,Misc,,,,,
01/27/22,AplPay TARGET       NORTH HAVEN         CT,4.49,200 UNIVERSAL DR NORTH,"NORTH HAVEN
CT",6473,UNITED STATES,Groceries,,,,,
01/28/22,NEW HAVEN PARKING MONEW HAVEN           CT,0.83,200 ORANGE ST,"NEW HAVEN
CT",06510-2016,UNITED STATES,Parking & Tolls,,,,,
01/28/22,NEW HAVEN PARKING MONEW HAVEN           CT,1.08,200 ORANGE ST,"NEW HAVEN
CT",06510-2016,UNITED STATES,Parking & Tolls,,,,,
01/28/22,www.cvs.com 00000269800-746-7287        RI,5.33,1 CVS DR,"WOONSOCKET
RI",02895-6146,UNITED STATES,Groceries,,,,,
01/30/22,Amazon Prime        Amazon.com          WA,6.92,"410 TERRY AVE N
-","SEATTLE
WA",98109,UNITED STATES,Books,,,,,
01/31/22,E-Payment,700.00,,,,,Housing,,,,,
01/31/22,GAMESTOP            NORTH HAVEN         CT,7.43,100 UNIVERSAL DR NORTH,"NORTH HAVEN
CT",6473,UNITED STATES,Entertainment,,,,,
01/31/22,P&M ORANGE STREET MANEW HAVEN           CT,11.27,721 ORANGE ST,"NEW HAVEN
CT",6511,UNITED STATES,Groceries,,,,,
01/31/22,SUNOCO 8000319402 80NEW HAVEN           CT,30.00,-,"-
TX",75231,UNITED STATES,Gas,,,,,
01/31/22,TARGET              NORTH HAVEN         CT,11.61,200 UNIVERSAL DR NORTH,"NORTH HAVEN
CT",6473,UNITED STATES,Groceries,,,,,
01/31/22,UPWORK*-448908657REFSANTA CLARA,154.50,"441 LOGUE AVE
-","MOUNTAIN VIEW
CA",94043,UNITED STATES,Misc,,,,,
02/01/22,STOP & SHOP #2633   NEW HAVEN           CT,17.00,140 WHALLEY AVE,"NEW HAVEN
CT",6511,UNITED STATES,Groceries,,,,,
02/02/22,SUSHI PALACE ORANGE ORANGE              CT,23.00,538 BOSTON POST RD,"ORANGE
CT",6477,UNITED STATES,Restaurants,,,,,
02/03/22,WHOLE Food - GroceriesS MARKET  MILFORD             CT,11.65,1686 BOSTON POST RD,"MILFORD
CT",6460,UNITED STATES,Groceries,,,,,
02/07/22,UPWORK*-450844339REFSANTA CLARA,36.05,"441 LOGUE AVE
-","MOUNTAIN VIEW
CA",94043,UNITED STATES,Misc,,,,,
02/11/22,E-Payment,103.77,,,,,Electric Bill,,,,,
02/11/22,STOP & SHOP #2633   NEW HAVEN           CT,55.96,140 WHALLEY AVE,"NEW HAVEN
CT",6511,UNITED STATES,Groceries,,,,,
02/17/22,E-Payment,173.00,,,,,Car Loan,,,,,
02/17/22,E-Payment,116.00,,,,,Car Insurance,,,,,
02/28/22,www.cvs.com 00000269800-746-7287        RI,5.33,1 CVS DR,"WOONSOCKET
RI",02895-6146,UNITED STATES,Groceries,,,,,
03/03/22,AplPay APPLE.COM/BILINTERNET CHARGE     CA,0.99,One Apple Park Way,"Cupertino
CA",95014,UNITED STATES,Subscription,,,,,
03/04/22,ENOTECA CASSANOVA ENNEW HAVEN           CT,3.40,717 ORANGE ST,"NEW HAVEN
CT",06511-0000,UNITED STATES,Groceries,,,,,
03/07/22,E-Payment,700.00,,,,,Housing,,,,,
03/08/22,UPWORK*-458896638REFSANTA CLARA,618.00,"441 LOGUE AVE
-","MOUNTAIN VIEW
CA",94043,UNITED STATES,Misc,,,,,
03/14/22,E-Payment,129.08,,,,,Gas Bill,,,,,
03/15/22,E-Payment,173.00,,,,,Car Loan,,,,,
03/15/22,E-Payment,116.00,,,,,Car Insurance,,,,,
03/15/22,NEW HAVEN PARKING MONEW HAVEN           CT,1.83,200 ORANGE ST,"NEW HAVEN
CT",06510-2016,UNITED STATES,Parking & Tolls,,,,,
03/16/22,NEW HAVEN PARKING MONEW HAVEN           CT,1.83,200 ORANGE ST,"NEW HAVEN
CT",06510-2016,UNITED STATES,Parking & Tolls,,,,,
03/20/22,NEW JERSEY E-Z PASS 888-288-6865        NJ,25.00,375 MCCARTER HWY,"NEWARK
NJ",07114-2562,UNITED STATES,Parking & Tolls,,,,,
03/23/22,OAK HALL CAP & GOWN SALEM               VA,14.84,840 UN ST,"SALEM
VA",24153-5121,UNITED STATES,Clothing,,,,,
03/28/22,NEW JERSEY E-Z PASS 888-288-6865        NJ,25.00,375 MCCARTER HWY,"NEWARK
NJ",07114-2562,UNITED STATES,Parking & Tolls,,,,,
